"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"html-button-response","57","98337","0.0-5.0-1.0-0.17","","","","","","","trial_start","1546","0","","","1","17","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","58","98589","0.0-5.0-1.0-1.17","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","59","99791","0.0-5.0-1.0-2.17","","","","","","","main_trial","null","null","","","1","17","1","Whole Image","./stimuli/poverty_negative_nointeraction.jpg","./stimuli/poverty_negative_nointeraction.jpg","","","","[{""x"":972,""y"":782,""t"":568,""event"":""mousemove""},{""x"":972,""y"":774,""t"":578,""event"":""mousemove""},{""x"":958,""y"":736,""t"":595,""event"":""mousemove""},{""x"":921,""y"":713,""t"":611,""event"":""mousemove""},{""x"":893,""y"":691,""t"":628,""event"":""mousemove""},{""x"":831,""y"":648,""t"":645,""event"":""mousemove""},{""x"":779,""y"":614,""t"":661,""event"":""mousemove""},{""x"":748,""y"":596,""t"":678,""event"":""mousemove""},{""x"":726,""y"":569,""t"":696,""event"":""mousemove""},{""x"":708,""y"":546,""t"":711,""event"":""mousemove""},{""x"":679,""y"":515,""t"":728,""event"":""mousemove""},{""x"":655,""y"":497,""t"":745,""event"":""mousemove""},{""x"":589,""y"":466,""t"":762,""event"":""mousemove""},{""x"":571,""y"":462,""t"":778,""event"":""mousemove""},{""x"":560,""y"":458,""t"":795,""event"":""mousemove""},{""x"":552,""y"":456,""t"":812,""event"":""mousemove""},{""x"":547,""y"":454,""t"":828,""event"":""mousemove""},{""x"":546,""y"":454,""t"":845,""event"":""mousemove""},{""x"":543,""y"":453,""t"":861,""event"":""mousemove""},{""x"":544,""y"":451,""t"":880,""event"":""mousemove""},{""x"":611,""y"":429,""t"":895,""event"":""mousemove""},{""x"":660,""y"":429,""t"":912,""event"":""mousemove""},{""x"":853,""y"":447,""t"":928,""event"":""mousemove""},{""x"":1008,""y"":465,""t"":945,""event"":""mousemove""},{""x"":1172,""y"":481,""t"":962,""event"":""mousemove""},{""x"":1328,""y"":498,""t"":979,""event"":""mousemove""},{""x"":1417,""y"":494,""t"":995,""event"":""mousemove""},{""x"":1497,""y"":474,""t"":1012,""event"":""mousemove""},{""x"":1545,""y"":427,""t"":1028,""event"":""mousemove""},{""x"":1570,""y"":403,""t"":1045,""event"":""mousemove""},{""x"":1586,""y"":386,""t"":1062,""event"":""mousemove""},{""x"":1600,""y"":354,""t"":1078,""event"":""mousemove""},{""x"":1602,""y"":349,""t"":1095,""event"":""mousemove""},{""x"":1602,""y"":346,""t"":1112,""event"":""mousemove""},{""x"":1603,""y"":345,""t"":1167,""event"":""mousemove""},{""x"":1605,""y"":345,""t"":1179,""event"":""mousemove""},{""x"":1626,""y"":351,""t"":1195,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","60","101986","0.0-5.0-1.0-0.18","","","","","","","trial_start","2194","0","","","1","18","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","61","102263","0.0-5.0-1.0-1.18","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","62","103464","0.0-5.0-1.0-2.18","","","","","","","main_trial","null","null","","","1","18","1","Whole Image","./stimuli/beach_negative_nointeraction.jpg","./stimuli/beach_negative_nointeraction.jpg","","","","[{""x"":987,""y"":787,""t"":668,""event"":""mousemove""},{""x"":1007,""y"":769,""t"":675,""event"":""mousemove""},{""x"":1049,""y"":724,""t"":692,""event"":""mousemove""},{""x"":1120,""y"":667,""t"":709,""event"":""mousemove""},{""x"":1221,""y"":590,""t"":725,""event"":""mousemove""},{""x"":1262,""y"":545,""t"":742,""event"":""mousemove""},{""x"":1327,""y"":499,""t"":759,""event"":""mousemove""},{""x"":1373,""y"":456,""t"":775,""event"":""mousemove""},{""x"":1424,""y"":417,""t"":792,""event"":""mousemove""},{""x"":1441,""y"":406,""t"":809,""event"":""mousemove""},{""x"":1478,""y"":367,""t"":825,""event"":""mousemove""},{""x"":1496,""y"":351,""t"":842,""event"":""mousemove""},{""x"":1504,""y"":345,""t"":859,""event"":""mousemove""},{""x"":1519,""y"":328,""t"":876,""event"":""mousemove""},{""x"":1534,""y"":314,""t"":892,""event"":""mousemove""},{""x"":1545,""y"":305,""t"":908,""event"":""mousemove""},{""x"":1560,""y"":290,""t"":925,""event"":""mousemove""},{""x"":1568,""y"":282,""t"":942,""event"":""mousemove""},{""x"":1572,""y"":276,""t"":959,""event"":""mousemove""},{""x"":1580,""y"":266,""t"":975,""event"":""mousemove""},{""x"":1582,""y"":260,""t"":992,""event"":""mousemove""},{""x"":1582,""y"":259,""t"":1025,""event"":""mousemove""},{""x"":1581,""y"":259,""t"":1043,""event"":""mousemove""},{""x"":1579,""y"":260,""t"":1059,""event"":""mousemove""},{""x"":1576,""y"":263,""t"":1076,""event"":""mousemove""},{""x"":1574,""y"":266,""t"":1092,""event"":""mousemove""},{""x"":1572,""y"":268,""t"":1109,""event"":""mousemove""},{""x"":1572,""y"":270,""t"":1126,""event"":""mousemove""},{""x"":1569,""y"":272,""t"":1142,""event"":""mousemove""},{""x"":1566,""y"":279,""t"":1159,""event"":""mousemove""},{""x"":1559,""y"":292,""t"":1175,""event"":""mousemove""},{""x"":1553,""y"":304,""t"":1192,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","63","105373","0.0-5.0-1.0-0.19","","","","","","","trial_start","1908","0","","","1","19","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","64","105624","0.0-5.0-1.0-1.19","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","65","106827","0.0-5.0-1.0-2.19","","","","","","","main_trial","null","null","","","1","19","1","Whole Image","./stimuli/funeral_negative_nointeraction.jpg","./stimuli/funeral_negative_nointeraction.jpg","","","","[{""x"":978,""y"":797,""t"":646,""event"":""mousemove""},{""x"":973,""y"":793,""t"":652,""event"":""mousemove""},{""x"":966,""y"":788,""t"":667,""event"":""mousemove""},{""x"":957,""y"":780,""t"":683,""event"":""mousemove""},{""x"":948,""y"":767,""t"":700,""event"":""mousemove""},{""x"":944,""y"":743,""t"":716,""event"":""mousemove""},{""x"":946,""y"":734,""t"":733,""event"":""mousemove""},{""x"":993,""y"":704,""t"":750,""event"":""mousemove""},{""x"":1038,""y"":676,""t"":767,""event"":""mousemove""},{""x"":1105,""y"":644,""t"":783,""event"":""mousemove""},{""x"":1151,""y"":618,""t"":800,""event"":""mousemove""},{""x"":1204,""y"":598,""t"":817,""event"":""mousemove""},{""x"":1294,""y"":535,""t"":834,""event"":""mousemove""},{""x"":1319,""y"":522,""t"":850,""event"":""mousemove""},{""x"":1392,""y"":483,""t"":867,""event"":""mousemove""},{""x"":1439,""y"":442,""t"":883,""event"":""mousemove""},{""x"":1489,""y"":415,""t"":900,""event"":""mousemove""},{""x"":1509,""y"":401,""t"":917,""event"":""mousemove""},{""x"":1552,""y"":359,""t"":933,""event"":""mousemove""},{""x"":1566,""y"":348,""t"":950,""event"":""mousemove""},{""x"":1579,""y"":331,""t"":967,""event"":""mousemove""},{""x"":1588,""y"":306,""t"":984,""event"":""mousemove""},{""x"":1590,""y"":297,""t"":1000,""event"":""mousemove""},{""x"":1590,""y"":294,""t"":1017,""event"":""mousemove""},{""x"":1590,""y"":292,""t"":1034,""event"":""mousemove""},{""x"":1590,""y"":289,""t"":1050,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","66","110153","0.0-5.0-1.0-0.20","","","","","","","trial_start","3325","0","","","1","20","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","67","110230","0.0-5.0-1.0-1.20","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","68","111432","0.0-5.0-1.0-2.20","","","","","","","main_trial","null","null","","","1","20","1","Whole Image","./stimuli/fair_negative_interaction.jpg","./stimuli/fair_negative_interaction.jpg","","","","[{""x"":970,""y"":785,""t"":702,""event"":""mousemove""},{""x"":932,""y"":761,""t"":717,""event"":""mousemove""},{""x"":911,""y"":749,""t"":733,""event"":""mousemove""},{""x"":886,""y"":719,""t"":751,""event"":""mousemove""},{""x"":837,""y"":682,""t"":767,""event"":""mousemove""},{""x"":826,""y"":671,""t"":784,""event"":""mousemove""},{""x"":799,""y"":633,""t"":802,""event"":""mousemove""},{""x"":749,""y"":594,""t"":817,""event"":""mousemove""},{""x"":703,""y"":541,""t"":834,""event"":""mousemove""},{""x"":664,""y"":510,""t"":851,""event"":""mousemove""},{""x"":619,""y"":480,""t"":867,""event"":""mousemove""},{""x"":571,""y"":461,""t"":884,""event"":""mousemove""},{""x"":545,""y"":453,""t"":901,""event"":""mousemove""},{""x"":498,""y"":441,""t"":917,""event"":""mousemove""},{""x"":487,""y"":438,""t"":934,""event"":""mousemove""},{""x"":466,""y"":429,""t"":951,""event"":""mousemove""},{""x"":446,""y"":421,""t"":968,""event"":""mousemove""},{""x"":432,""y"":412,""t"":983,""event"":""mousemove""},{""x"":421,""y"":400,""t"":1001,""event"":""mousemove""},{""x"":411,""y"":384,""t"":1018,""event"":""mousemove""},{""x"":406,""y"":377,""t"":1034,""event"":""mousemove""},{""x"":403,""y"":371,""t"":1051,""event"":""mousemove""},{""x"":396,""y"":366,""t"":1069,""event"":""mousemove""},{""x"":395,""y"":364,""t"":1084,""event"":""mousemove""},{""x"":394,""y"":363,""t"":1101,""event"":""mousemove""},{""x"":392,""y"":363,""t"":1117,""event"":""mousemove""},{""x"":390,""y"":362,""t"":1134,""event"":""mousemove""},{""x"":390,""y"":361,""t"":1151,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","69","113092","0.0-5.0-1.0-0.21","","","","","","","trial_start","1659","0","","","1","21","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","70","113219","0.0-5.0-1.0-1.21","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","71","114420","0.0-5.0-1.0-2.21","","","","","","","main_trial","null","null","","","1","21","1","Whole Image","./stimuli/poverty_ambiguous_nointeraction.jpg","./stimuli/poverty_ambiguous_nointeraction.jpg","","","","[{""x"":987,""y"":781,""t"":498,""event"":""mousemove""},{""x"":1021,""y"":764,""t"":514,""event"":""mousemove""},{""x"":1083,""y"":702,""t"":531,""event"":""mousemove""},{""x"":1180,""y"":640,""t"":548,""event"":""mousemove""},{""x"":1264,""y"":578,""t"":565,""event"":""mousemove""},{""x"":1355,""y"":516,""t"":581,""event"":""mousemove""},{""x"":1417,""y"":465,""t"":598,""event"":""mousemove""},{""x"":1471,""y"":429,""t"":615,""event"":""mousemove""},{""x"":1499,""y"":396,""t"":631,""event"":""mousemove""},{""x"":1516,""y"":376,""t"":648,""event"":""mousemove""},{""x"":1528,""y"":366,""t"":664,""event"":""mousemove""},{""x"":1532,""y"":362,""t"":681,""event"":""mousemove""},{""x"":1537,""y"":356,""t"":698,""event"":""mousemove""},{""x"":1539,""y"":353,""t"":714,""event"":""mousemove""},{""x"":1542,""y"":350,""t"":731,""event"":""mousemove""},{""x"":1542,""y"":349,""t"":748,""event"":""mousemove""},{""x"":1542,""y"":347,""t"":765,""event"":""mousemove""},{""x"":1542,""y"":345,""t"":785,""event"":""mousemove""},{""x"":1542,""y"":344,""t"":809,""event"":""mousemove""},{""x"":1542,""y"":342,""t"":849,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","72","116799","0.0-5.0-1.0-0.22","","","","","","","trial_start","2378","0","","","1","22","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","73","117051","0.0-5.0-1.0-1.22","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","74","118253","0.0-5.0-1.0-2.22","","","","","","","main_trial","null","null","","","1","22","1","Whole Image","./stimuli/birth_ambiguous_interaction.jpg","./stimuli/birth_ambiguous_interaction.jpg","","","","[{""x"":996,""y"":782,""t"":488,""event"":""mousemove""},{""x"":1032,""y"":742,""t"":503,""event"":""mousemove""},{""x"":1139,""y"":664,""t"":519,""event"":""mousemove""},{""x"":1183,""y"":624,""t"":537,""event"":""mousemove""},{""x"":1315,""y"":536,""t"":553,""event"":""mousemove""},{""x"":1393,""y"":484,""t"":570,""event"":""mousemove""},{""x"":1484,""y"":421,""t"":586,""event"":""mousemove""},{""x"":1518,""y"":385,""t"":604,""event"":""mousemove""},{""x"":1535,""y"":365,""t"":620,""event"":""mousemove""},{""x"":1555,""y"":350,""t"":636,""event"":""mousemove""},{""x"":1572,""y"":335,""t"":653,""event"":""mousemove""},{""x"":1583,""y"":321,""t"":671,""event"":""mousemove""},{""x"":1591,""y"":311,""t"":686,""event"":""mousemove""},{""x"":1609,""y"":296,""t"":703,""event"":""mousemove""},{""x"":1617,""y"":291,""t"":720,""event"":""mousemove""},{""x"":1623,""y"":288,""t"":736,""event"":""mousemove""},{""x"":1625,""y"":287,""t"":753,""event"":""mousemove""},{""x"":1627,""y"":287,""t"":771,""event"":""mousemove""},{""x"":1627,""y"":285,""t"":787,""event"":""mousemove""},{""x"":1627,""y"":284,""t"":812,""event"":""mousemove""},{""x"":1627,""y"":283,""t"":864,""event"":""mousemove""},{""x"":1627,""y"":282,""t"":877,""event"":""mousemove""},{""x"":1626,""y"":282,""t"":887,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","75","120976","0.0-5.0-1.0-0.23","","","","","","","trial_start","2723","0","","","1","23","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","76","121077","0.0-5.0-1.0-1.23","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","77","122279","0.0-5.0-1.0-2.23","","","","","","","main_trial","null","null","","","1","23","1","Whole Image","./stimuli/fair_negative_nointeraction.jpg","./stimuli/fair_negative_nointeraction.jpg","","","","[{""x"":974,""y"":792,""t"":547,""event"":""mousemove""},{""x"":966,""y"":770,""t"":565,""event"":""mousemove""},{""x"":963,""y"":744,""t"":581,""event"":""mousemove""},{""x"":970,""y"":728,""t"":598,""event"":""mousemove""},{""x"":987,""y"":698,""t"":615,""event"":""mousemove""},{""x"":1017,""y"":663,""t"":631,""event"":""mousemove""},{""x"":1066,""y"":635,""t"":648,""event"":""mousemove""},{""x"":1090,""y"":610,""t"":664,""event"":""mousemove""},{""x"":1159,""y"":563,""t"":681,""event"":""mousemove""},{""x"":1195,""y"":532,""t"":698,""event"":""mousemove""},{""x"":1279,""y"":480,""t"":715,""event"":""mousemove""},{""x"":1362,""y"":444,""t"":731,""event"":""mousemove""},{""x"":1382,""y"":434,""t"":748,""event"":""mousemove""},{""x"":1415,""y"":413,""t"":765,""event"":""mousemove""},{""x"":1451,""y"":393,""t"":781,""event"":""mousemove""},{""x"":1457,""y"":388,""t"":798,""event"":""mousemove""},{""x"":1464,""y"":383,""t"":815,""event"":""mousemove""},{""x"":1475,""y"":375,""t"":831,""event"":""mousemove""},{""x"":1480,""y"":372,""t"":848,""event"":""mousemove""},{""x"":1481,""y"":371,""t"":865,""event"":""mousemove""},{""x"":1483,""y"":369,""t"":882,""event"":""mousemove""},{""x"":1484,""y"":369,""t"":899,""event"":""mousemove""},{""x"":1484,""y"":368,""t"":916,""event"":""mousemove""},{""x"":1484,""y"":367,""t"":936,""event"":""mousemove""},{""x"":1484,""y"":366,""t"":999,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","78","124129","0.0-5.0-1.0-0.24","","","","","","","trial_start","1848","0","","","1","24","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","79","124231","0.0-5.0-1.0-1.24","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
