"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","442","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","476","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","3619","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","52068","0.0-3.0","","","","","","","demographics_survey","48418","{""MouseSelection"":""Mouse"",""age"":""38"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""123""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","123407","0.0-4.0","","","","","","","instructions","71338","","","[{""page_index"":0,""viewing_time"":34326},{""page_index"":1,""viewing_time"":18397},{""page_index"":2,""viewing_time"":16710},{""page_index"":3,""viewing_time"":1904}]","","","","","","","","","","","","","","","","",""
"instructions","5","131029","0.0-5.0-0.0","","","","","","","run_instructions","7622","","","[{""page_index"":0,""viewing_time"":7622}]","1","0","1","people","","","","","","","","","","","","",""
"html-button-response","6","133686","0.0-5.0-1.0-0.0","","","","","","","trial_start","2656","0","","","1","0","1","people","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","133812","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","134815","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","people","./stimuli/hospital_positive_interaction.jpg","./stimuli/hospital_positive_interaction.jpg","","","","[]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","9","138620","0.0-5.0-1.0-0.1","","","","","","","trial_start","3805","0","","","1","1","1","people","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","10","138621","0.0-5.0-1.0-1.1","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","11","139622","0.0-5.0-1.0-2.1","","","","","","","main_trial","null","null","","","1","1","1","people","./stimuli/wedding_ambiguous_nointeraction.jpg","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[{""x"":970,""y"":796,""t"":824,""event"":""mousemove""},{""x"":963,""y"":795,""t"":829,""event"":""mousemove""},{""x"":945,""y"":787,""t"":844,""event"":""mousemove""},{""x"":923,""y"":772,""t"":861,""event"":""mousemove""},{""x"":881,""y"":751,""t"":879,""event"":""mousemove""},{""x"":826,""y"":701,""t"":895,""event"":""mousemove""},{""x"":758,""y"":655,""t"":911,""event"":""mousemove""},{""x"":669,""y"":579,""t"":928,""event"":""mousemove""},{""x"":623,""y"":544,""t"":945,""event"":""mousemove""},{""x"":566,""y"":505,""t"":961,""event"":""mousemove""},{""x"":540,""y"":481,""t"":977,""event"":""mousemove""},{""x"":508,""y"":457,""t"":995,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","12","144568","0.0-5.0-1.0-3.1-0.1","","","","","","","break","4946","","","[{""page_index"":0,""viewing_time"":4946}]","2","2","1","people","","","","","","","","","","","","",""
"html-button-response","13","147646","0.0-5.0-1.0-0.2","","","","","","","trial_start","3076","0","","","2","2","1","people","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","14","147829","0.0-5.0-1.0-1.2","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","15","148831","0.0-5.0-1.0-2.2","","","","","","","main_trial","null","null","","","2","2","1","people","./stimuli/war_negative_interaction.jpg","./stimuli/war_negative_interaction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"instructions","16","150887","0.0-5.0-1.0-4.2-0.2","","","","","","","last_break","2056","","","[{""page_index"":0,""viewing_time"":2056}]","3","3","1","people","","","","","","","","","","","","",""
"instructions","17","152790","0.0-5.0-0.1","","","","","","","run_instructions","1903","","","[{""page_index"":0,""viewing_time"":1903}]","3","0","2","global","","","","","","","","","","","","",""
"html-button-response","18","154645","0.0-5.0-1.1-0.3","","","","","","","trial_start","1854","0","","","3","0","2","global","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","19","154722","0.0-5.0-1.1-1.3","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","20","155723","0.0-5.0-1.1-2.3","","","","","","","main_trial","null","null","","","3","0","2","global","./stimuli/hospital_positive_interaction.jpg","./stimuli/hospital_positive_interaction.jpg","","","","[{""x"":951,""y"":799,""t"":867,""event"":""mousemove""},{""x"":936,""y"":797,""t"":878,""event"":""mousemove""},{""x"":835,""y"":759,""t"":894,""event"":""mousemove""},{""x"":690,""y"":690,""t"":911,""event"":""mousemove""},{""x"":641,""y"":668,""t"":927,""event"":""mousemove""},{""x"":562,""y"":625,""t"":945,""event"":""mousemove""},{""x"":470,""y"":560,""t"":961,""event"":""mousemove""},{""x"":437,""y"":522,""t"":978,""event"":""mousemove""},{""x"":416,""y"":500,""t"":994,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
