"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","456","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","497","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","4330","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","20109","0.0-3.0","","","","","","","demographics_survey","15724","{""MouseSelection"":""Mouse"",""age"":""27"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""11235""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","28111","0.0-4.0","","","","","","","instructions","8001","","","[{""page_index"":0,""viewing_time"":2413},{""page_index"":1,""viewing_time"":2001},{""page_index"":2,""viewing_time"":1980},{""page_index"":3,""viewing_time"":1606}]","","","","","","","","","","","","","","","","",""
"instructions","5","30073","0.0-5.0-0.0","","","","","","","run_instructions","1961","","","[{""page_index"":0,""viewing_time"":1960}]","1","0","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","6","32021","0.0-5.0-1.0-0.0","","","","","","","trial_start","1946","0","","","1","0","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","32183","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","33388","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","Whole Image","./stimuli/hospital_positive_interaction.jpg","./stimuli/hospital_positive_interaction.jpg","","","","[{""x"":1014,""y"":724,""t"":820,""event"":""mousemove""},{""x"":1071,""y"":655,""t"":841,""event"":""mousemove""},{""x"":1088,""y"":633,""t"":848,""event"":""mousemove""},{""x"":1095,""y"":617,""t"":859,""event"":""mousemove""},{""x"":1103,""y"":595,""t"":876,""event"":""mousemove""},{""x"":1106,""y"":569,""t"":891,""event"":""mousemove""},{""x"":1102,""y"":540,""t"":908,""event"":""mousemove""},{""x"":1042,""y"":492,""t"":926,""event"":""mousemove""},{""x"":1016,""y"":476,""t"":941,""event"":""mousemove""},{""x"":921,""y"":427,""t"":958,""event"":""mousemove""},{""x"":862,""y"":403,""t"":974,""event"":""mousemove""},{""x"":798,""y"":390,""t"":991,""event"":""mousemove""},{""x"":725,""y"":379,""t"":1008,""event"":""mousemove""},{""x"":681,""y"":366,""t"":1025,""event"":""mousemove""},{""x"":641,""y"":350,""t"":1042,""event"":""mousemove""},{""x"":610,""y"":330,""t"":1058,""event"":""mousemove""},{""x"":589,""y"":315,""t"":1074,""event"":""mousemove""},{""x"":568,""y"":306,""t"":1091,""event"":""mousemove""},{""x"":548,""y"":301,""t"":1108,""event"":""mousemove""},{""x"":529,""y"":296,""t"":1125,""event"":""mousemove""},{""x"":514,""y"":295,""t"":1144,""event"":""mousemove""},{""x"":504,""y"":294,""t"":1160,""event"":""mousemove""},{""x"":496,""y"":293,""t"":1175,""event"":""mousemove""},{""x"":487,""y"":290,""t"":1193,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"html-button-response","9","35703","0.0-5.0-1.0-0.1","","","","","","","trial_start","2314","0","","","1","1","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
