"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","429","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3861","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","9367","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","279955","0.0-3.0","","","","","","","demographics_survey","270557","{""MouseSelection"":""Mouse"",""age"":""35"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""11235""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","302004","0.0-4.0","","","","","","","instructions","22049","","","[{""page_index"":0,""viewing_time"":8494},{""page_index"":1,""viewing_time"":4729},{""page_index"":2,""viewing_time"":7236},{""page_index"":3,""viewing_time"":1590}]","","","","","","","","","","","","","","","","",""
"instructions","5","308535","0.0-5.0-0.0","","","","","","","run_instructions","6530","","","[{""page_index"":0,""viewing_time"":6530}]","1","0","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","6","311040","0.0-5.0-1.0-0.0","","","","","","","trial_start","2504","0","","","1","0","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","311292","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","312495","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","Whole Image","./stimuli/beach_ambiguous_nointeraction.jpg","./stimuli/beach_ambiguous_nointeraction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","9","314754","0.0-5.0-1.0-0.1","","","","","","","trial_start","2258","0","","","1","1","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","10","314831","0.0-5.0-1.0-1.1","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","11","316035","0.0-5.0-1.0-2.1","","","","","","","main_trial","null","null","","","1","1","1","Whole Image","./stimuli/hospital_ambiguous_nointeraction.jpg","./stimuli/hospital_ambiguous_nointeraction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","12","317236","0.0-5.0-1.0-0.2","","","","","","","trial_start","1201","0","","","1","2","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","13","317387","0.0-5.0-1.0-1.2","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","14","318589","0.0-5.0-1.0-2.2","","","","","","","main_trial","null","null","","","1","2","1","Whole Image","./stimuli/funeral_ambiguous_nointeraction.jpg","./stimuli/funeral_ambiguous_nointeraction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","15","319567","0.0-5.0-1.0-0.3","","","","","","","trial_start","978","0","","","1","3","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","16","319743","0.0-5.0-1.0-1.3","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","17","320945","0.0-5.0-1.0-2.3","","","","","","","main_trial","null","null","","","1","3","1","Whole Image","./stimuli/funeral_positive_nointeraction.jpg","./stimuli/funeral_positive_nointeraction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","18","422652","0.0-5.0-1.0-0.4","","","","","","","trial_start","101705","0","","","1","4","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","19","422828","0.0-5.0-1.0-1.4","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","20","424031","0.0-5.0-1.0-2.4","","","","","","","main_trial","null","null","","","1","4","1","Whole Image","./stimuli/poverty_ambiguous_nointeraction.jpg","./stimuli/poverty_ambiguous_nointeraction.jpg","","","","[{""x"":963,""y"":648,""t"":865,""event"":""mousemove""},{""x"":961,""y"":614,""t"":882,""event"":""mousemove""},{""x"":951,""y"":570,""t"":899,""event"":""mousemove""},{""x"":939,""y"":523,""t"":914,""event"":""mousemove""},{""x"":931,""y"":502,""t"":931,""event"":""mousemove""},{""x"":909,""y"":446,""t"":948,""event"":""mousemove""},{""x"":902,""y"":428,""t"":964,""event"":""mousemove""},{""x"":895,""y"":404,""t"":982,""event"":""mousemove""},{""x"":885,""y"":382,""t"":998,""event"":""mousemove""},{""x"":882,""y"":376,""t"":1014,""event"":""mousemove""},{""x"":879,""y"":371,""t"":1032,""event"":""mousemove""},{""x"":877,""y"":367,""t"":1048,""event"":""mousemove""},{""x"":877,""y"":363,""t"":1065,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1910","938","940","668"
"html-button-response","21","433505","0.0-5.0-1.0-0.5","","","","","","","trial_start","9473","0","","","1","5","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","22","433657","0.0-5.0-1.0-1.5","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","23","434859","0.0-5.0-1.0-2.5","","","","","","","main_trial","null","null","","","1","5","1","Whole Image","./stimuli/wedding_negative_interaction.jpg","./stimuli/wedding_negative_interaction.jpg","","","","[{""x"":958,""y"":646,""t"":880,""event"":""mousemove""},{""x"":961,""y"":637,""t"":884,""event"":""mousemove""},{""x"":965,""y"":626,""t"":898,""event"":""mousemove""},{""x"":981,""y"":606,""t"":915,""event"":""mousemove""},{""x"":1003,""y"":569,""t"":932,""event"":""mousemove""},{""x"":1023,""y"":526,""t"":948,""event"":""mousemove""},{""x"":1045,""y"":470,""t"":964,""event"":""mousemove""},{""x"":1061,""y"":447,""t"":982,""event"":""mousemove""},{""x"":1093,""y"":401,""t"":998,""event"":""mousemove""},{""x"":1099,""y"":389,""t"":1015,""event"":""mousemove""},{""x"":1101,""y"":386,""t"":1032,""event"":""mousemove""},{""x"":1101,""y"":384,""t"":1048,""event"":""mousemove""},{""x"":1102,""y"":383,""t"":1077,""event"":""mousemove""},{""x"":1101,""y"":388,""t"":1122,""event"":""mousemove""},{""x"":1096,""y"":395,""t"":1133,""event"":""mousemove""},{""x"":1053,""y"":435,""t"":1148,""event"":""mousemove""},{""x"":1034,""y"":451,""t"":1165,""event"":""mousemove""},{""x"":995,""y"":482,""t"":1183,""event"":""mousemove""},{""x"":964,""y"":507,""t"":1199,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1910","938","940","668"
