"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","rt","response","accuracy","view_history","block_number","trial_number","run_number","task","stimulus","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","474","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","481","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","3471","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","","",""
"survey","3","19937","0.0-3.0","","","","","","","demographics_survey","16429","{""MouseSelection"":""Mouse"",""age"":""23"",""handedness"":""Right-handed"",""gender"":""Female"",""EMScode"":""11235""}","[]","","","","","","","","","","","","","","","","","",""
"instructions","4","52709","0.0-4.0","","","","","","","instructions","32771","","","[{""page_index"":0,""viewing_time"":4194},{""page_index"":1,""viewing_time"":3204},{""page_index"":2,""viewing_time"":22259},{""page_index"":3,""viewing_time"":3113}]","","","","","","","","","","","","","","","","",""
"instructions","5","57589","0.0-5.0-0.0","","","","","","","run_instructions","4880","","","[{""page_index"":0,""viewing_time"":4880}]","1","0","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","6","59110","0.0-5.0-1.0-0.0","","","","","","","trial_start","1519","0","","","1","0","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","7","59137","0.0-5.0-1.0-1.0","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","8","60139","0.0-5.0-1.0-2.0","","","","","","","main_trial","null","null","","","1","0","1","Whole Image","./stimuli/war_negative_interaction.jpg","./stimuli/war_negative_interaction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","9","63212","0.0-5.0-1.0-0.1","","","","","","","trial_start","3072","0","","","1","1","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","10","63314","0.0-5.0-1.0-1.1","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","11","64316","0.0-5.0-1.0-2.1","","","","","","","main_trial","null","null","","","1","1","1","Whole Image","./stimuli/wedding_ambiguous_nointeraction.jpg","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[{""x"":964,""y"":794,""t"":560,""event"":""mousemove""},{""x"":941,""y"":788,""t"":576,""event"":""mousemove""},{""x"":912,""y"":778,""t"":590,""event"":""mousemove""},{""x"":866,""y"":763,""t"":608,""event"":""mousemove""},{""x"":839,""y"":747,""t"":624,""event"":""mousemove""},{""x"":813,""y"":730,""t"":641,""event"":""mousemove""},{""x"":792,""y"":719,""t"":657,""event"":""mousemove""},{""x"":775,""y"":712,""t"":674,""event"":""mousemove""},{""x"":749,""y"":696,""t"":691,""event"":""mousemove""},{""x"":722,""y"":675,""t"":708,""event"":""mousemove""},{""x"":692,""y"":633,""t"":724,""event"":""mousemove""},{""x"":658,""y"":570,""t"":741,""event"":""mousemove""},{""x"":642,""y"":545,""t"":758,""event"":""mousemove""},{""x"":607,""y"":490,""t"":774,""event"":""mousemove""},{""x"":592,""y"":465,""t"":791,""event"":""mousemove""},{""x"":571,""y"":442,""t"":809,""event"":""mousemove""},{""x"":538,""y"":400,""t"":824,""event"":""mousemove""},{""x"":532,""y"":392,""t"":841,""event"":""mousemove""},{""x"":513,""y"":378,""t"":858,""event"":""mousemove""},{""x"":491,""y"":363,""t"":874,""event"":""mousemove""},{""x"":482,""y"":357,""t"":891,""event"":""mousemove""},{""x"":473,""y"":345,""t"":908,""event"":""mousemove""},{""x"":468,""y"":336,""t"":924,""event"":""mousemove""},{""x"":465,""y"":333,""t"":941,""event"":""mousemove""},{""x"":464,""y"":330,""t"":958,""event"":""mousemove""},{""x"":463,""y"":328,""t"":974,""event"":""mousemove""},{""x"":462,""y"":327,""t"":991,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"instructions","12","66695","0.0-5.0-1.0-3.1-0.1","","","","","","","break","2378","","","[{""page_index"":0,""viewing_time"":2378}]","2","2","1","Whole Image","","","","","","","","","","","","",""
"html-button-response","13","68783","0.0-5.0-1.0-0.2","","","","","","","trial_start","2088","0","","","2","2","1","Whole Image","<div style=""font-size:9px""></div>","","","","","","","","","","","",""
"html-keyboard-response","14","68985","0.0-5.0-1.0-1.2","","","","","","","jitter","null","null","","","","","","","","","","","","","","","","","","",""
"image-button-response","15","69986","0.0-5.0-1.0-2.2","","","","","","","main_trial","null","null","","","2","2","1","Whole Image","./stimuli/hospital_positive_interaction.jpg","./stimuli/hospital_positive_interaction.jpg","","","","[]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","16","71865","0.0-5.0-1.0-4.2-0.2","","","","","","","last_break","1878","","","[{""page_index"":0,""viewing_time"":1878}]","3","3","1","Whole Image","","","","","","","","","","","","",""
