"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","view_history","rt","block_number","trial_number","run_number","task","stimulus","response","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"html-button-response","11","37551","0.0-3.0-1.0-0.2","","","","","","","trial_start","","2159","2","2","1","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","12","37551","0.0-3.0-1.0-1.2","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","13","38553","0.0-3.0-1.0-2.2","","","","","","","main_trial","","null","2","2","1","global","./stimuli/war_negative_interaction.jpg","null","./stimuli/war_negative_interaction.jpg","","","","[{""x"":971,""y"":796,""t"":666,""event"":""mousemove""},{""x"":919,""y"":785,""t"":678,""event"":""mousemove""},{""x"":782,""y"":705,""t"":693,""event"":""mousemove""},{""x"":706,""y"":664,""t"":711,""event"":""mousemove""},{""x"":613,""y"":591,""t"":727,""event"":""mousemove""},{""x"":529,""y"":515,""t"":744,""event"":""mousemove""},{""x"":481,""y"":452,""t"":760,""event"":""mousemove""},{""x"":451,""y"":407,""t"":777,""event"":""mousemove""},{""x"":435,""y"":389,""t"":794,""event"":""mousemove""},{""x"":429,""y"":384,""t"":811,""event"":""mousemove""},{""x"":423,""y"":377,""t"":827,""event"":""mousemove""},{""x"":415,""y"":359,""t"":844,""event"":""mousemove""},{""x"":414,""y"":342,""t"":860,""event"":""mousemove""},{""x"":414,""y"":334,""t"":877,""event"":""mousemove""},{""x"":414,""y"":332,""t"":895,""event"":""mousemove""},{""x"":414,""y"":331,""t"":911,""event"":""mousemove""},{""x"":414,""y"":329,""t"":927,""event"":""mousemove""},{""x"":413,""y"":329,""t"":944,""event"":""mousemove""},{""x"":413,""y"":327,""t"":961,""event"":""mousemove""}]","{}","","[""positive"",""negative""]","1920","1080","945","810"
"instructions","14","43765","0.0-3.0-1.0-4.2-0.2","","","","","","","last_break","[{""page_index"":0,""viewing_time"":5212}]","5212","3","3","1","global","","","","","","","","","","","","","",""
"instructions","15","45252","0.0-3.0-0.1","","","","","","","run_instructions","[{""page_index"":0,""viewing_time"":1486}]","1487","3","0","2","people","","","","","","","","","","","","","",""
"html-button-response","16","49308","0.0-3.0-1.1-0.3","","","","","","","trial_start","","4055","3","0","2","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","17","49360","0.0-3.0-1.1-1.3","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","18","50361","0.0-3.0-1.1-2.3","","","","","","","main_trial","","null","3","0","2","people","./stimuli/war_negative_interaction.jpg","null","./stimuli/war_negative_interaction.jpg","","","","[{""x"":1012,""y"":766,""t"":820,""event"":""mousemove""},{""x"":1031,""y"":746,""t"":832,""event"":""mousemove""},{""x"":1178,""y"":604,""t"":849,""event"":""mousemove""},{""x"":1241,""y"":544,""t"":865,""event"":""mousemove""},{""x"":1310,""y"":483,""t"":882,""event"":""mousemove""},{""x"":1428,""y"":391,""t"":898,""event"":""mousemove""},{""x"":1493,""y"":340,""t"":915,""event"":""mousemove""},{""x"":1514,""y"":329,""t"":932,""event"":""mousemove""},{""x"":1521,""y"":323,""t"":948,""event"":""mousemove""},{""x"":1524,""y"":322,""t"":965,""event"":""mousemove""},{""x"":1524,""y"":321,""t"":982,""event"":""mousemove""},{""x"":1525,""y"":320,""t"":998,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","19","51842","0.0-3.0-1.1-0.4","","","","","","","trial_start","","1481","3","1","2","people","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","20","51919","0.0-3.0-1.1-1.4","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","21","52920","0.0-3.0-1.1-2.4","","","","","","","main_trial","","null","3","1","2","people","./stimuli/wedding_ambiguous_nointeraction.jpg","null","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[{""x"":981,""y"":787,""t"":842,""event"":""mousemove""},{""x"":978,""y"":787,""t"":856,""event"":""mousemove""},{""x"":972,""y"":783,""t"":862,""event"":""mousemove""},{""x"":960,""y"":772,""t"":876,""event"":""mousemove""},{""x"":896,""y"":727,""t"":892,""event"":""mousemove""},{""x"":819,""y"":659,""t"":909,""event"":""mousemove""},{""x"":777,""y"":619,""t"":926,""event"":""mousemove""},{""x"":696,""y"":529,""t"":942,""event"":""mousemove""},{""x"":668,""y"":497,""t"":958,""event"":""mousemove""},{""x"":625,""y"":440,""t"":976,""event"":""mousemove""},{""x"":593,""y"":410,""t"":992,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1920","1080","945","810"
