"trial_type","trial_index","time_elapsed","internal_node_id","success","timeout","failed_images","failed_audio","failed_video","exp_id","event","view_history","rt","block_number","trial_number","run_number","task","stimulus","response","filename","category","animacy","index","mouse_tracking_data","mouse_tracking_targets","answer","targets","screen_width","screen_height","button_left","button_bottom"
"pavlovia","0","444","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","558","0.0-1.0","true","false","[]","[]","[]","mouse_tracker_socialcog","preload","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","3464","0.0-2.0","true","","","","","","fullscreen","","","","","","","","","","","","","","","","","","","",""
"instructions","3","22281","0.0-3.0-0.0","","","","","","","run_instructions","[{""page_index"":0,""viewing_time"":18817}]","18817","1","0","1","global","","","","","","","","","","","","","",""
"html-button-response","4","24589","0.0-3.0-1.0-0.0","","","","","","","trial_start","","2307","1","0","1","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","5","24773","0.0-3.0-1.0-1.0","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","6","25794","0.0-3.0-1.0-2.0","","","","","","","main_trial","","null","1","0","1","global","./stimuli/wedding_ambiguous_nointeraction.jpg","null","./stimuli/wedding_ambiguous_nointeraction.jpg","","","","[]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"html-button-response","7","28203","0.0-3.0-1.0-0.1","","","","","","","trial_start","","2408","1","1","1","global","<div style=""font-size:9px""></div>","0","","","","","","","","","","","",""
"html-keyboard-response","8","28468","0.0-3.0-1.0-1.1","","","","","","","jitter","","null","","","","","","null","","","","","","","","","","","",""
"image-button-response","9","29486","0.0-3.0-1.0-2.1","","","","","","","main_trial","","null","1","1","1","global","./stimuli/hospital_positive_interaction.jpg","null","./stimuli/hospital_positive_interaction.jpg","","","","[{""x"":977,""y"":795,""t"":581,""event"":""mousemove""},{""x"":969,""y"":792,""t"":586,""event"":""mousemove""},{""x"":965,""y"":787,""t"":599,""event"":""mousemove""},{""x"":939,""y"":770,""t"":616,""event"":""mousemove""},{""x"":927,""y"":762,""t"":633,""event"":""mousemove""},{""x"":870,""y"":724,""t"":649,""event"":""mousemove""},{""x"":822,""y"":702,""t"":666,""event"":""mousemove""},{""x"":738,""y"":655,""t"":683,""event"":""mousemove""},{""x"":660,""y"":603,""t"":700,""event"":""mousemove""},{""x"":547,""y"":526,""t"":716,""event"":""mousemove""},{""x"":521,""y"":506,""t"":733,""event"":""mousemove""},{""x"":453,""y"":430,""t"":749,""event"":""mousemove""},{""x"":425,""y"":396,""t"":767,""event"":""mousemove""},{""x"":411,""y"":375,""t"":783,""event"":""mousemove""},{""x"":406,""y"":363,""t"":800,""event"":""mousemove""},{""x"":404,""y"":361,""t"":817,""event"":""mousemove""},{""x"":403,""y"":361,""t"":833,""event"":""mousemove""},{""x"":404,""y"":360,""t"":953,""event"":""mousemove""}]","{}","","[""negative"",""positive""]","1920","1080","945","810"
"instructions","10","35391","0.0-3.0-1.0-3.1-0.1","","","","","","","break","[{""page_index"":0,""viewing_time"":5905}]","5905","2","2","1","global","","","","","","","","","","","","","",""
